formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_16646.hoa,?,?,daisy,5,3,6,1.2,0.065,True,F(a & GFa)
aut_16647.hoa,?,?,daisy,6,3,8,1.3,0.065,True,F(!a & GF!a)
aut_16672.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_16674.hoa,?,?,buchi,8,3,16,2.0,1.117,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_16676.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_16678.hoa,?,?,buchi,9,3,14,1.6,1.111,True,X(Fa & G(!a | X(!a R Fa)))
aut_16680.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_16684.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_16688.hoa,?,?,daisy2,4,2,4,1.0,0.063,True,GF!a
aut_16691.hoa,?,?,buchi,8,3,15,1.9,1.111,True,(a R F!a) & G(a | X(a R F!a))
aut_16692.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_16695.hoa,?,?,buchi,9,3,14,1.6,1.106,True,X(F!a & G(a | X(a R F!a)))
aut_16696.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_16700.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_16704.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_16706.hoa,?,?,acc,1,0,1,1.0,1.106,True,1
aut_16707.hoa,?,?,acc,1,0,1,1.0,1.102,True,1
aut_16736.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_16738.hoa,?,?,acc,1,0,1,1.0,1.104,True,1
aut_16740.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_16742.hoa,?,?,acc,1,0,1,1.0,1.102,True,1
aut_16744.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_16748.hoa,?,?,daisy2,1,0,1,1.0,0.063,True,1
aut_16752.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_16755.hoa,?,?,acc,1,0,1,1.0,1.112,True,1
aut_16756.hoa,?,?,daisy2,1,0,1,1.0,0.062,True,1
aut_16759.hoa,?,?,acc,1,0,1,1.0,1.107,True,1
aut_16760.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_16764.hoa,?,?,daisy2,1,0,1,1.0,0.064,True,1
aut_16768.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_16770.hoa,?,?,buchi,8,3,16,2.0,1.102,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_16771.hoa,?,?,acc,1,0,1,1.0,1.096,True,1
aut_16772.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_16774.hoa,?,?,buchi,8,3,16,2.0,1.101,True,(!a R Fa) & G(!a | X(!a R Fa))
aut_16832.hoa,?,?,daisy2,4,2,4,1.0,0.064,True,GF!a
aut_16834.hoa,?,?,acc,1,0,1,1.0,1.094,True,1
aut_16835.hoa,?,?,buchi,8,3,15,1.9,1.116,True,(a R F!a) & G(a | X(a R F!a))
aut_16836.hoa,?,?,daisy2,4,2,4,1.0,0.065,True,GF!a
aut_16839.hoa,?,?,buchi,8,3,15,1.9,1.109,True,(a R F!a) & G(a | X(a R F!a))
aut_16897.hoa,?,?,daisy,2,1,2,1.0,0.064,True,Fa
aut_16899.hoa,?,?,daisy,6,2,7,1.2,0.064,True,F(a & XG!a)
aut_16903.hoa,?,?,daisy,6,3,7,1.2,0.064,True,F(a & GF!a)
aut_16905.hoa,?,?,daisy,2,1,2,1.0,0.063,True,Fa
aut_16912.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_16914.hoa,?,?,partscc,3,2,3,1.0,0.065,True,GFa
aut_16915.hoa,?,?,buchi,2,1,2,1.0,1.109,True,Fa
aut_16916.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_16918.hoa,?,?,buchi,8,3,13,1.6,1.105,True,Fa & G(!a | X(!a R Fa))
aut_16919.hoa,?,?,buchi,2,1,2,1.0,1.110,True,Fa
aut_16920.hoa,?,?,daisy2,3,2,3,1.0,0.063,True,GFa
aut_16924.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_16928.hoa,?,?,daisy2,5,2,6,1.2,0.067,True,GF(a & Xa)
aut_16930.hoa,?,?,buchi,46,9,373,8.1,1.117,True,F(a & Xa) & ((!a U (a & Xa)) | ((!a | X!a) U (!a & X(!a U (a & Xa))))) & (((a R …
aut_16931.hoa,?,?,buchi,2,1,2,1.0,1.107,True,Fa
aut_16935.hoa,?,?,buchi,2,1,2,1.0,1.106,True,Fa
aut_16936.hoa,?,?,daisy2,5,2,6,1.2,0.067,True,GF(a & Xa)
aut_16944.hoa,?,?,daisy2,6,2,7,1.2,0.065,True,GF(a & X!a)
aut_16947.hoa,?,?,buchi,726,129,719222,990.7,1.224,UNVERIFIED_SIZE,<unflattened DAG: 719222 tree nodes>
